"alphas","alpha.water","rho","mum","psk","psf","p_rgh","alpha.sand","mup","CD","p","alpha.air","magD","gamma","alphaSolInd","J:0","J:1","J:2","gradAlphad:0","gradAlphad:1","gradAlphad:2","U:0","U:1","U:2","gradPsf:0","gradPsf:1","gradPsf:2","Wi:0","Wi:1","Wi:2","Wtd:0","Wtd:1","Wtd:2","Wsd:0","Wsd:1","Wsd:2","W:0","W:1","W:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1,0.40058,1141.9,0.67371,0,22.305,0.39015,0.59942,1000,2.7142e+05,0.39015,0,0.0047394,1,1,0,0,0,0,0,0,0,0,0,0,-717.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.1,0.40069,1141.9,0.67363,0,21.742,0.94695,0.59931,1000,2.7123e+05,-6.3345,0,0.0046744,1,1,0,0,0,-4.8193e-14,0,0,3.0595e-06,2.4921e-19,0,0,-873.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00065,0,0.00065,0
1.1,0.40078,1141.9,0.67357,0,21.264,1.4241,0.59922,1000,2.7106e+05,-13.139,0,0.0046095,1,1,0,0,0,-4.8193e-14,0,0,6.0767e-06,8.2019e-19,0,0,-748.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0013,0,0.0013,0
1.1,0.40088,1141.9,0.67351,0,20.774,1.9143,0.59912,1000,2.7089e+05,-19.93,0,0.0045445,1,1,0,0,0,0,0,0,9.0518e-06,1.3341e-18,0,0,-738.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00195,0,0.00195,0
1.1,0.40097,1141.9,0.67344,0,20.307,2.3813,0.59903,1000,2.7072e+05,-26.744,0,0.0044795,1,1,0,0,0,-4.8193e-14,0,0,1.1985e-05,1.4073e-18,0,0,-720.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0026,0,0.0026,0
1.1,0.40107,1141.9,0.67338,0,19.838,2.8495,0.59893,1000,2.7055e+05,-33.556,0,0.0044146,1,1,0,0,0,-3.4525e-20,0,0,1.4875e-05,1.4806e-18,0,0,-687.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00325,0,0.00325,0
1.1,0.40117,1141.9,0.67331,0,19.376,3.3116,0.59883,1000,2.7038e+05,-40.375,0,0.0043496,1,1,0,0,0,-4.8193e-14,0,0,1.7724e-05,2.2159e-18,0,0,-752.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0039,0,0.0039,0
1.1,0.40127,1141.8,0.67324,0,18.891,3.7958,0.59873,1000,2.7019e+05,-47.171,0,0.0042847,1,1,0,0,0,-6.905e-20,0,0,2.053e-05,3.8256e-18,0,0,-740.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00455,0,0.00455,0
1.1,0.40137,1141.8,0.67317,0,18.416,4.2707,0.59863,1000,2.7e+05,-53.977,0,0.0042197,1,1,0,0,0,-4.8193e-14,0,0,2.3294e-05,4.5509e-18,0,0,-698.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0052,0,0.0052,0
1.1,0.40148,1141.8,0.6731,0,17.955,4.7308,0.59852,1000,2.6982e+05,-60.797,0,0.0041548,1,1,0,0,0,-4.8193e-14,0,0,2.6015e-05,3.7487e-18,0,0,-724.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00585,0,0.00585,0
