"p","U:0","U:1","U:2","CD","W:0","W:1","W:2","Wi:0","Wi:1","Wi:2","Wsd:0","Wsd:1","Wsd:2","Wtd:0","Wtd:1","Wtd:2","alpha.air","alpha.sand","alpha.water","alphaSolInd","alphas","gamma","gradAlphad:0","gradAlphad:1","gradAlphad:2","gradPsf:0","gradPsf:1","gradPsf:2","mum","mup","p_rgh","psf","psk","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31368,0,0,0,2.7144e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59943,0.40057,1,1.1,1,0,0,0,0,-711.87,0,0.67372,1000,0.31368,22.382,0,1141.9,1,0,-0.000325,0,-0.000325
-6.4024,3.1178e-06,-9.0038e-19,0,2.7125e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59932,0.40068,1,1.1,1,-4.8193e-14,0,0,0,-915.92,0,0.67364,1000,0.87903,21.81,0,1141.9,1,0.00065007,-0.0003185,0.00065,-0.0003185
-13.176,6.1934e-06,-1.564e-18,0,2.7108e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59923,0.40077,1,1.1,1,-4.8193e-14,0,0,0,-725.72,0,0.67358,1000,1.3868,21.302,0,1141.9,1,0.0013001,-0.000312,0.0013,-0.000312
-19.996,9.2267e-06,-2.1198e-18,0,2.7092e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59914,0.40086,1,1.1,1,0,0,0,0,-760.97,0,0.67352,1000,1.8475,20.841,0,1141.9,1,0.0019502,-0.0003055,0.00195,-0.0003055
-26.792,1.2218e-05,-2.775e-18,0,2.7074e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59904,0.40096,1,1.1,1,-4.8193e-14,0,0,0,-725.26,0,0.67345,1000,2.3328,20.355,0,1141.9,1,0.0026003,-0.000299,0.0026,-0.000299
-33.605,1.5167e-05,-3.5713e-18,0,2.7057e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59894,0.40106,1,1.1,1,-3.4525e-20,0,0,0,-696.01,0,0.67339,1000,2.8005,19.887,0,1141.9,1,0.0032503,-0.0002925,0.00325,-0.0002925
-40.43,1.8073e-05,-4.0262e-18,0,2.704e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59885,0.40115,1,1.1,1,-4.8193e-14,0,0,0,-719.73,0,0.67332,1000,3.2567,19.431,0,1141.9,1,0.0039004,-0.000286,0.0039,-0.000286
-47.236,2.0938e-05,-4.028e-18,0,2.7022e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59874,0.40126,1,1.1,1,-6.905e-20,0,0,0,-734.52,0,0.67325,1000,3.7312,18.956,0,1141.8,1,0.0045505,-0.0002795,0.00455,-0.0002795
-54.039,2.376e-05,-3.739e-18,0,2.7003e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59864,0.40136,1,1.1,1,-4.8193e-14,0,0,0,-753.89,0,0.67318,1000,4.208,18.478,0,1141.8,1,0.0052005,-0.000273,0.0052,-0.000273
-60.852,2.654e-05,-3.8902e-18,0,2.6984e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59853,0.40147,1,1.1,1,-4.8193e-14,0,0,0,-707.02,0,0.67311,1000,4.6757,18.01,0,1141.8,1,0.0058506,-0.0002665,0.00585,-0.0002665
-67.648,2.9278e-05,-4.3074e-18,0,2.6964e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59842,0.40158,1,1.1,1,-6.9051e-20,0,0,0,-724.92,0,0.67304,1000,5.1595,17.525,0,1141.8,1,0.0065006,-0.00026,0.0065,-0.00026
-74.458,3.1973e-05,-4.26e-18,0,2.6944e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59831,0.40169,1,1.1,1,-4.8193e-14,0,0,0,-756.04,0,0.67296,1000,5.6291,17.055,0,1141.8,1,0.0071507,-0.0002535,0.00715,-0.0002535
-81.258,3.4627e-05,-3.1805e-18,0,2.6923e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59819,0.40181,1,1.1,1,0,0,0,0,-736.27,0,0.67288,1000,6.1085,16.574,0,1141.8,1,0.0078008,-0.000247,0.0078,-0.000247
-88.05,3.7238e-05,-2.084e-18,0,2.6901e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59807,0.40193,1,1.1,1,-4.8193e-14,0,0,0,-719.06,0,0.6728,1000,6.5959,16.086,0,1141.8,1,0.0084508,-0.0002405,0.00845,-0.0002405
-94.872,3.9807e-05,-2.2564e-18,0,2.688e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59795,0.40205,1,1.1,1,-1.381e-19,0,0,0,-696.93,0,0.67272,1000,7.0536,15.627,0,1141.8,1,0.0091009,-0.000234,0.0091,-0.000234
-101.7,4.2333e-05,-3.5678e-18,0,2.6858e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59782,0.40218,1,1.1,1,0,0,0,0,-702.78,0,0.67263,1000,7.5082,15.171,0,1141.7,1,0.009751,-0.0002275,0.00975,-0.0002275
-108.54,4.4818e-05,-3.8714e-18,0,2.6837e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5977,0.4023,1,1.1,1,-4.8193e-14,0,0,0,-690.39,0,0.67255,1000,7.9444,14.733,0,1141.7,1,0.010401,-0.000221,0.0104,-0.000221
-115.35,4.726e-05,-1.6523e-18,0,2.6813e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59757,0.40243,1,1.1,1,0,0,0,0,-708.8,0,0.67246,1000,8.4116,14.264,0,1141.7,1,0.011051,-0.0002145,0.01105,-0.0002145
-122.19,4.966e-05,9.8494e-19,0,2.679e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59744,0.40256,1,1.1,1,0,0,0,0,-683.77,0,0.67237,1000,8.8528,13.821,0,1141.7,1,0.011701,-0.000208,0.0117,-0.000208
-129.01,5.2018e-05,1.3286e-19,0,2.6766e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5973,0.4027,1,1.1,1,-4.8192e-14,0,0,0,-696.82,0,0.67228,1000,9.3045,13.368,0,1141.7,1,0.012351,-0.0002015,0.01235,-0.0002015
-135.84,5.4333e-05,-3.7725e-18,0,2.6741e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59716,0.40284,1,1.1,1,-1.381e-19,0,0,0,-715.85,0,0.67219,1000,9.7582,12.912,0,1141.7,1,0.013001,-0.000195,0.013,-0.000195
-142.66,5.6606e-05,-4.6468e-18,0,2.6715e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59701,0.40299,1,1.1,1,0,0,0,0,-705.25,0,0.67209,1000,10.213,12.455,0,1141.6,1,0.013651,-0.0001885,0.01365,-0.0001885
