"p","U:0","U:1","U:2","CD","W:0","W:1","W:2","Wi:0","Wi:1","Wi:2","Wsd:0","Wsd:1","Wsd:2","Wtd:0","Wtd:1","Wtd:2","alpha.air","alpha.sand","alpha.water","alphaSolInd","alphas","epsilon","gamma","gradAlphad:0","gradAlphad:1","gradAlphad:2","gradPsf:0","gradPsf:1","gradPsf:2","k","mum","mup","nut","p_rgh","psf","psk","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0519,0,0,0,67.939,0,0,0,0,0,0,0,2.8822e-08,0,0,0,0,0,0.55026,0.44974,1,1.0597,1.9156e-05,1,0,0,0,0,-1255.1,0,1e-06,0.027831,100,0,3.0519,17.888,0.00037576,1104.6,1,0,0,0,0
-6.1636,3.0005e-05,9.2236e-08,0,67.699,8.54e-21,2.0887e-06,0,0,0,0,8.1008e-23,4.2737e-08,0,8.459e-21,2.0459e-06,0,0,0.54996,0.45004,1,1.0597,2.2599e-05,1,-1.2677e-14,-0.069066,0,-2.2525e-15,-1803.2,0,1.1811e-05,0.027547,100,5.7798e-07,4.6715,16.264,0.00038305,1104.5,1,0.001,0,0.001,0
-15.24,5.9604e-05,2.2173e-07,0,67.412,-5.22e-20,5.0626e-06,0,0,0,0,1.9382e-22,3.3375e-08,0,-5.2393e-20,5.0292e-06,0,0,0.5496,0.4504,1,1.0595,2.9363e-05,1,-7.3526e-14,-0.1028,0,9.8221e-13,-1485.1,0,2.2986e-05,0.027214,100,1.6265e-06,6.4287,14.503,0.00038319,1104.4,1,0.002,0,0.002,0
-24.671,8.8881e-05,4.2547e-07,0,67.163,0,1.0178e-05,0,0,0,0,0,1.1474e-09,0,0,1.0177e-05,0,0,0.54928,0.45072,1,1.0592,3.8409e-05,1,0,-0.15287,0,-4.7549e-14,-1515.6,0,3.4568e-05,0.02693,100,2.8009e-06,7.8306,13.123,0.00040588,1104.4,1,0.003,0,0.003,0
-33.921,0.00011824,7.9908e-07,0,66.846,0,1.9395e-05,0,0,0,0,0,0,0,0,1.9395e-05,0,0,0.54888,0.45112,1,1.0589,5.0113e-05,1,0,-0.22976,0,-7.9513e-13,-1786.7,0,4.6878e-05,0.026574,100,3.9467e-06,9.4111,11.54,0.00044426,1104.3,1,0.004,0,0.004,0
-43.153,0.00014799,9.8575e-07,0,66.483,0,2.2988e-05,0,0,0,0,0,0,0,0,2.2988e-05,0,0,0.54841,0.45159,1,1.0583,6.5086e-05,1,0,-0.34066,0,-8.9973e-13,-1433.7,0,6.0354e-05,0.026175,100,5.0372e-06,11.007,9.9331,0.00046248,1104.2,1,0.005,0,0.005,0
-52.572,0.00017826,1.285e-06,0,66.118,0,2.998e-05,0,0,0,0,0,0,0,0,2.998e-05,0,0,0.54794,0.45206,1,1.0575,8.4679e-05,1,0,-0.50779,0,-1.2347e-12,-1342.8,0,7.5599e-05,0.025783,100,6.0753e-06,12.415,8.5303,0.00046414,1104.1,1,0.006,0,0.006,0
-62.098,0.00020914,1.6142e-06,0,65.726,0,3.7428e-05,0,0,0,0,0,0,0,0,3.7428e-05,0,0,0.54743,0.45257,1,1.0562,0.00011102,1,0,-0.75682,0,0,-1230.5,0,9.3491e-05,0.025372,98.604,7.0883e-06,13.715,7.2339,0.00047251,1104,1,0.007,0,0.007,0
-71.727,0.00025195,2.1172e-06,0,65.293,-2.8026e-19,4.9659e-05,0,0,0,0,0,0,0,-2.8026e-19,4.9659e-05,0,0,0.54686,0.45314,1,1.0544,0.00014663,1,-3.5495e-14,-1.1227,0,0,-1199.6,0,0.00011487,0.02493,44.904,8.103e-06,14.907,6.012,0.0025667,1103.9,1,0.008,0,0.008,0
-81.566,0.00052417,2.9093e-06,0,64.791,-3.7093e-19,6.8279e-05,0,0,0,0,0,0,0,-3.7093e-19,6.8279e-05,0,0,0.5462,0.4538,1,1.0516,0.00019666,1,-4.3102e-14,-1.6672,0,2.0792e-13,-1185.3,0,0.00014124,0.02443,5.0329,9.1352e-06,15.886,4.8289,0.16939,1103.8,1,0.009,0,0.009,0
-92.227,0.0018561,3.9662e-06,0,64.18,1.6061e-18,9.2685e-05,0,0,0,0,0,0,0,1.6061e-18,9.2685e-05,0,0,0.54538,0.45462,1,1.0476,0.00026903,1,-1.2931e-13,-2.4699,0,1.7183e-12,-1117.2,0,0.00017421,0.023842,1.4054,1.0164e-05,16.039,3.6712,1.1556,1103.6,1,0.01,0,0.01,0
-103.02,0.0042975,5.5735e-06,0,63.444,0,0.00013146,0,0,0,0,0,0,0,0,0.00013146,0,0,0.54438,0.45562,1,1.0416,0.0003724,1,0,-3.6352,0,0,-1037.2,0,0.00021498,0.023163,0.95533,1.118e-05,16.051,2.6026,2.1925,1103.4,1,0.011,0,0.011,0
-113.81,0.0074715,1.3906e-05,0,62.094,3.2438e-18,0.00021868,0,0,0,0,0,0,0,3.2438e-18,0.00021868,0,0,0.543,0.457,1,1.0327,0.00052758,1,-6.592e-14,-5.3338,0,1.7745e-12,-985.63,0,0.00026601,0.022284,0.77353,1.2092e-05,16.05,1.6074,3.0942,1103.2,1,0.012,0,0.012,0
-125.39,0.011329,-1.2416e-05,0,57.863,4.6699e-18,0.0014632,0,0,0,0,0,0,0,4.6699e-18,0.0014632,0,0,0.53992,0.46008,1,1.0198,0.0007785,1,-8.6203e-14,-7.7606,0,1.0176e-12,-974.95,0,0.00033424,0.020589,0.62894,1.295e-05,15.226,0.61581,4.0651,1102.6,1,0.013,0,0.013,0
-134.83,0.017003,-1.2455e-05,0,39.442,8.5465e-07,0.00033085,0,8.5465e-07,-0.0065766,0,0,0,0,2.6916e-18,0.0069074,0,0,0.50938,0.49062,1,1.0013,0.001334,1,-8.6203e-14,-11.126,0,1.1192e-13,-82.155,0,0.00046437,0.011816,0.32108,1.4601e-05,15.793,0.002742,3.965,1096.8,1,0.014,0,0.014,0
-144.86,0.028188,1.0234e-06,0,22.938,1.0552e-06,3.9442e-05,0,1.0552e-06,-0.0094558,0,0,0,0,-2.1977e-18,0.0094953,0,0,0.45907,0.54093,1,0.97458,0.0029488,1,-3.0425e-14,-15.733,0,0,0,0,0.00076891,0.0066144,0.16951,1.8165e-05,15.115,0,3.4094,1087.2,1,0.015,0,0.015,0
-154.9,0.045804,1.4448e-06,0,14.177,-1.3542e-06,3.4152e-05,0,-1.3542e-06,-0.012587,0,0,0,0,0,0.012621,0,0,0.40651,0.59349,1,0.93746,0.0062864,1,0,-21.685,0,0,0,0,0.0012656,0.0044379,0.1019,2.3042e-05,14.178,0,2.8303,1077.2,1,0.016,0,0.016,0
-164.82,0.070186,1.5484e-06,0,9.195,-2.4215e-06,3.7755e-05,0,-2.4215e-06,-0.016231,0,0,0,0,0,0.016269,0,0,0.35394,0.64606,1,0.88744,0.011878,1,0,-28.891,0,0,0,0,0.0019411,0.0032788,0.063582,2.8593e-05,13.156,0,2.2378,1067.2,1,0.017,0,0.017,0
-174.65,0.10156,1.6132e-06,0,6.354,-3.7768e-06,4.2494e-05,0,-3.7768e-06,-0.020308,0,0,0,0,0,0.02035,0,0,0.30304,0.69696,1,0.8214,0.019813,1,0,-36.88,0,0,0,0,0.0027599,0.0025948,0.039883,3.465e-05,12.09,0,1.6418,1057.6,1,0.018,0,0.018,0
