"TauSxy","nut","alphas","alpha.water","TauFxy","rho","mum","k","psk","psf","p_rgh","alpha.sand","mup","CD","p","alpha.air","gamma","alphaSolInd","epsilon","gradAlphad:0","gradAlphad:1","gradAlphad:2","U:0","U:1","U:2","gradPsf:0","gradPsf:1","gradPsf:2","Wi:0","Wi:1","Wi:2","Wtd:0","Wtd:1","Wtd:2","Wsd:0","Wsd:1","Wsd:2","W:0","W:1","W:2","TauF:0","TauF:1","TauF:2","TauF:3","TauF:4","TauF:5","TauS:0","TauS:1","TauS:2","TauS:3","TauS:4","TauS:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0173,0,1.1005,0.44974,0.00037767,1104.6,0.027831,1e-06,0.00037576,17.888,3.0519,0.55026,100,67.939,3.0519,5.5511e-17,1,1,1.9156e-05,0,0,0,0,0,0,0,-1255.1,0,0,0,0,0,0,0,0,2.8822e-08,0,0,0,0,-4.2095e-07,8.419e-07,-4.2095e-07,0.00037767,0,0,-0.0033631,0.0067263,-0.0033631,3.0173,0,0,1,0,-0.000425,0,-0.000425
2.9818,5.7798e-07,1.0999,0.45004,0.0003774,1104.5,0.027547,1.1811e-05,0.00038305,16.264,4.6715,0.54996,100,67.699,-6.1636,2.7756e-17,1,1,2.2599e-05,-1.2677e-14,-0.069066,0,3.0005e-05,9.2236e-08,0,-2.2525e-15,-1803.2,0,0,0,0,8.459e-21,2.0459e-06,0,8.1008e-23,4.2737e-08,0,8.54e-21,2.0887e-06,0,-1.0997e-06,2.1993e-06,-1.0997e-06,0.0003774,0,0,-0.0086826,0.017365,-0.0086826,2.9818,0,0,1,0.0010001,-0.0004165,0.001,-0.0004165
2.9397,1.6265e-06,1.0992,0.4504,0.00038185,1104.4,0.027214,2.2986e-05,0.00038319,14.503,6.4287,0.5496,100,67.412,-15.24,-1.9592e-17,1,1,2.9363e-05,-7.3526e-14,-0.1028,0,5.9604e-05,2.2173e-07,0,9.8221e-13,-1485.1,0,0,0,0,-5.2393e-20,5.0292e-06,0,1.9382e-22,3.3375e-08,0,-5.22e-20,5.0626e-06,0,-1.167e-06,2.3339e-06,-1.167e-06,0.00038185,0,0,-0.0089723,0.017945,-0.0089723,2.9397,0,0,1,0.0020001,-0.000408,0.002,-0.000408
2.925,2.8009e-06,1.0986,0.45072,0.00039196,1104.4,0.02693,3.4568e-05,0.00040588,13.123,7.8306,0.54928,100,67.163,-24.671,2.7756e-17,1,1,3.8409e-05,0,-0.15287,0,8.8881e-05,4.2547e-07,0,-4.7549e-14,-1515.6,0,0,0,0,0,1.0177e-05,0,0,1.1474e-09,0,0,1.0178e-05,0,-2.7877e-06,5.5755e-06,-2.7877e-06,0.00039196,0,0,-0.020784,0.041569,-0.020784,2.925,0,0,1,0.0030002,-0.0003995,0.003,-0.0003995
2.9528,3.9467e-06,1.0978,0.45112,0.00040657,1104.3,0.026574,4.6878e-05,0.00044426,11.54,9.4111,0.54888,100,66.846,-33.921,0,1,1,5.0113e-05,0,-0.22976,0,0.00011824,7.9908e-07,0,-7.9513e-13,-1786.7,0,0,0,0,0,1.9395e-05,0,0,0,0,0,1.9395e-05,0,-2.6416e-06,5.2831e-06,-2.6416e-06,0.00040657,0,0,-0.019232,0.038465,-0.019232,2.9528,0,0,1,0.0040003,-0.000391,0.004,-0.000391
3.0004,5.0372e-06,1.0968,0.45159,0.00042293,1104.2,0.026175,6.0354e-05,0.00046248,9.9331,11.007,0.54841,100,66.483,-43.153,0,1,1,6.5086e-05,0,-0.34066,0,0.00014799,9.8575e-07,0,-8.9973e-13,-1433.7,0,0,0,0,0,2.2988e-05,0,0,0,0,0,2.2988e-05,0,-2.1774e-06,4.3548e-06,-2.1774e-06,0.00042293,0,0,-0.01542,0.03084,-0.01542,3.0004,0,0,1,0.0050004,-0.0003825,0.005,-0.0003825
3.0558,6.0753e-06,1.0959,0.45206,0.00044011,1104.1,0.025783,7.5599e-05,0.00046414,8.5303,12.415,0.54794,100,66.118,-52.572,2.1225e-17,1,1,8.4679e-05,0,-0.50779,0,0.00017826,1.285e-06,0,-1.2347e-12,-1342.8,0,0,0,0,0,2.998e-05,0,0,0,0,0,2.998e-05,0,-3.0252e-06,6.0504e-06,-3.0252e-06,0.00044011,0,0,-0.021007,0.042015,-0.021007,3.0558,0,0,1,0.0060004,-0.000374,0.006,-0.000374
3.1824,7.0883e-06,1.0949,0.45257,0.00047505,1104,0.025372,9.3491e-05,0.00047251,7.2339,13.715,0.54743,98.604,65.726,-62.098,-1.6327e-18,1,1,0.00011102,0,-0.75682,0,0.00020914,1.6142e-06,0,0,-1230.5,0,0,0,0,0,3.7428e-05,0,0,0,0,0,3.7428e-05,0,-3.9723e-06,7.9446e-06,-3.9723e-06,0.00047505,0,0,-0.02653,0.05306,-0.02653,3.1824,0,0,1,0.0070005,-0.0003655,0.007,-0.0003655
3.1149,8.103e-06,1.0937,0.45314,0.001327,1103.9,0.02493,0.00011487,0.0025667,6.012,14.907,0.54686,44.904,65.293,-71.727,4.898e-18,1,1,0.00014663,-3.5495e-14,-1.1227,0,0.00025195,2.1172e-06,0,0,-1199.6,0,0,0,0,-2.8026e-19,4.9659e-05,0,0,0,0,-2.8026e-19,4.9659e-05,0,-6.0254e-06,1.2051e-05,-6.0254e-06,0.001327,0,0,-0.017086,0.034172,-0.017086,3.1149,0,0,1,0.0080006,-0.000357,0.008,-0.000357
2.6579,9.1352e-06,1.0924,0.4538,0.010292,1103.8,0.02443,0.00014124,0.16939,4.8289,15.886,0.5462,5.0329,64.791,-81.566,-5.5511e-17,1,1,0.00019666,-4.3102e-14,-1.6672,0,0.00052417,2.9093e-06,0,2.0792e-13,-1185.3,0,0,0,0,-3.7093e-19,6.8279e-05,0,0,0,0,-3.7093e-19,6.8279e-05,0,-9.906e-06,1.9812e-05,-9.906e-06,0.010292,0,0,-0.0031642,0.0063285,-0.0031642,2.6579,0,0,1,0.0090006,-0.0003485,0.009,-0.0003485
2.6616,1.0164e-05,1.0908,0.45462,0.030309,1103.6,0.023842,0.00017421,1.1556,3.6712,16.039,0.54538,1.4054,64.18,-92.227,-2.7756e-17,1,1,0.00026903,-1.2931e-13,-2.4699,0,0.0018561,3.9662e-06,0,1.7183e-12,-1117.2,0,0,0,0,1.6061e-18,9.2685e-05,0,0,0,0,1.6061e-18,9.2685e-05,0,-1.2214e-05,2.4428e-05,-1.2214e-05,0.030309,0,0,-0.0010912,0.0021824,-0.0010912,2.6616,0,0,1,0.010001,-0.00034,0.01,-0.00034
2.7057,1.118e-05,1.0888,0.45562,0.044465,1103.4,0.023163,0.00021498,2.1925,2.6026,16.051,0.54438,0.95533,63.444,-103.02,2.449e-17,1,1,0.0003724,0,-3.6352,0,0.0042975,5.5735e-06,0,0,-1037.2,0,0,0,0,0,0.00013146,0,0,0,0,0,0.00013146,0,-3.5915e-05,7.183e-05,-3.5915e-05,0.044465,0,0,-0.0021509,0.0043017,-0.0021509,2.7057,0,0,1,0.011001,-0.0003315,0.011,-0.0003315
2.6973,1.2092e-05,1.086,0.457,0.054905,1103.2,0.022284,0.00026601,3.0942,1.6074,16.05,0.543,0.77353,62.094,-113.81,-2.1225e-17,1,1,0.00052758,-6.592e-14,-5.3338,0,0.0074715,1.3906e-05,0,1.7745e-12,-985.63,0,0,0,0,3.2438e-18,0.00021868,0,0,0,0,3.2438e-18,0.00021868,0,-6.1172e-05,0.00012234,-6.1172e-05,0.054905,0,0,-0.0033631,0.0067262,-0.0033631,2.6973,0,0,1,0.012001,-0.000323,0.012,-0.000323
